a1X,a1Y,a1Z,g1X,g1Y,g1Z,a2X,a2Y,a2Z,g2X,g2Y,g2Z
0.016,-0.749,-0.771,-2.380,-0.366,0.916,-62.90,0.15,0.00,0.00,0.00,22.63
0.016,-0.680,-0.764,-2.869,0.305,1.770,-62.90,0.15,0.00,0.00,0.00,22.63
0.021,-0.679,-0.779,-0.427,0.000,2.258,-62.90,0.15,0.00,0.00,0.00,22.63
0.006,-0.663,-0.753,1.770,-1.709,2.625,-62.90,0.15,0.00,0.00,0.00,22.63
0.011,-0.693,-0.752,3.906,-1.831,1.770,-62.90,0.15,0.00,0.00,0.00,22.63
0.039,-0.705,-0.780,2.014,0.061,0.183,-62.90,0.15,0.00,0.00,0.00,22.63
0.048,-0.707,-0.788,0.305,0.000,-0.183,-62.90,0.15,0.00,0.00,0.00,22.63
0.041,-0.702,-0.772,0.244,-0.671,-0.305,-62.90,0.15,0.00,0.00,0.00,22.63
0.022,-0.670,-0.745,-0.488,-1.404,-0.122,-62.90,0.15,0.00,0.00,0.00,22.63
0.014,-0.686,-0.737,1.343,-0.488,-0.061,-62.90,0.15,0.00,0.00,0.00,22.63
0.027,-0.728,-0.763,2.502,1.404,0.793,-62.90,0.15,0.00,0.00,0.00,22.63
0.030,-0.720,-0.768,1.038,1.953,1.709,-62.90,0.15,0.00,0.00,0.00,22.63
0.031,-0.693,-0.771,-1.038,2.258,1.770,-62.90,0.15,0.00,0.00,0.00,22.63
0.026,-0.683,-0.771,-0.977,2.258,0.977,-62.90,0.15,0.00,0.00,0.00,22.63
0.033,-0.708,-0.779,1.648,1.343,1.770,-62.90,0.15,0.00,0.00,0.00,22.63
0.016,-0.678,-0.770,-0.244,0.732,1.709,-62.90,0.15,0.00,0.00,0.00,22.63
0.015,-0.698,-0.768,-0.610,1.343,-0.122,-62.90,0.15,0.00,0.00,0.00,22.63
0.034,-0.717,-0.779,-0.061,2.747,-1.221,-62.90,0.15,0.00,0.00,0.00,22.63
0.052,-0.666,-0.789,-2.197,2.258,-0.916,-62.90,0.15,0.00,0.00,0.00,22.63
0.035,-0.677,-0.758,2.380,-1.038,-0.916,-62.90,0.15,0.00,0.00,0.00,22.63
