a1X,a1Y,a1Z,g1X,g1Y,g1Z,a2X,a2Y,a2Z,g2X,g2Y,g2Z
-0.752,-0.670,-0.222,-7.812,2.197,-0.610,4.61,6.24,7.39,-0.02,0.05,-0.06
-0.749,-0.638,-0.215,-7.324,2.075,0.305,4.63,6.28,7.41,-0.04,0.05,-0.05
-0.754,-0.643,-0.220,-0.977,1.526,1.526,4.66,6.30,7.38,-0.07,0.03,-0.03
-0.754,-0.666,-0.237,1.648,1.648,2.075,4.74,6.32,7.37,-0.10,0.00,-0.01
-0.765,-0.661,-0.231,1.099,-0.122,0.671,4.81,6.32,7.33,-0.11,-0.00,0.02
-0.779,-0.658,-0.227,0.244,-0.488,-1.221,4.85,6.36,7.29,-0.11,-0.00,0.05
-0.780,-0.681,-0.238,-2.197,0.183,-2.747,4.89,6.34,7.26,-0.10,0.01,0.06
-0.756,-0.665,-0.250,-4.944,1.648,-3.052,4.92,6.22,7.24,-0.06,0.03,0.06
-0.749,-0.651,-0.253,-7.690,1.404,-3.967,4.97,6.15,7.26,-0.02,0.06,0.05
-0.760,-0.640,-0.250,-8.362,0.854,-4.333,5.00,6.13,7.27,0.01,0.09,0.05
-0.779,-0.624,-0.225,-9.094,0.610,-4.211,4.96,6.21,7.21,0.03,0.11,0.03
-0.777,-0.599,-0.210,-8.667,1.099,-3.052,4.91,6.25,7.18,0.01,0.12,0.00
-0.775,-0.610,-0.210,-3.662,1.648,-1.099,4.88,6.34,7.19,-0.03,0.13,-0.02
-0.790,-0.624,-0.195,-0.732,1.099,1.465,4.82,6.44,7.17,-0.09,0.13,-0.04
-0.796,-0.643,-0.193,1.831,2.197,7.324,4.75,6.49,7.17,-0.17,0.14,-0.07
-0.790,-0.676,-0.210,4.089,3.052,13.855,4.76,6.55,7.33,-0.24,0.14,-0.08
-0.751,-0.696,-0.233,5.310,3.479,16.968,4.81,6.40,7.44,-0.31,0.14,-0.09
-0.705,-0.702,-0.272,4.700,3.113,19.836,4.82,6.17,7.50,-0.34,0.15,-0.09
-0.730,-0.725,-0.261,4.150,0.916,16.968,4.77,6.04,7.54,-0.31,0.16,-0.08
-0.742,-0.740,-0.241,-2.136,2.441,10.193,4.73,6.01,7.63,-0.26,0.16,-0.09
-0.729,-0.730,-0.233,-5.188,4.456,7.080,4.65,5.98,7.68,-0.21,0.17,-0.11
-,-,-,-,-,-,-,-,-,-,-,-
-1.783,0.008,0.357,89.172,11.414,43.579,4.66,11.14,5.97,-1.18,0.06,0.53
-1.741,0.452,0.135,181.274,46.570,126.404,4.26,13.35,6.07,-2.52,-0.12,0.67
-1.559,0.772,0.011,236.023,43.030,174.988,4.87,15.22,5.14,-4.53,-0.79,0.55
-0.504,1.125,-1.098,329.773,15.137,252.380,5.39,13.63,2.45,-6.84,-2.13,0.10
0.162,0.974,-1.682,378.845,7.874,303.101,8.18,9.07,0.59,-8.57,-3.23,-1.06
1.069,-0.236,-1.787,474.731,19.897,352.783,9.33,2.93,-1.73,-8.73,-4.02,-4.61
1.249,-0.949,-1.976,441.895,-10.681,337.341,9.68,-4.64,-0.48,-7.89,-4.28,-4.10
0.583,-1.686,-1.514,249.634,-65.430,247.253,10.86,-5.00,3.31,-7.15,-4.22,-3.31
0.167,-1.432,-1.191,155.762,-82.092,204.407,10.82,-4.81,5.85,-6.75,-3.48,-1.89
-0.384,-1.200,-0.758,97.778,-32.288,171.082,9.42,-3.81,6.39,-5.96,-2.28,-1.50
